# evid,Ml,Mw,fc,n,stressdrop
2018189163251IMS000000,0.640,0.788,44.411,1.867,1.868
2018189173537IMS000000,1.710,1.977,20.464,2.097,11.098
2018189195043IMS000000,0.470,0.543,45.753,1.738,0.877
2018190005253IMS000000,0.570,0.738,41.803,1.779,1.312
2018190020811IMS000000,1.060,1.268,36.682,1.929,5.518
2018190025747IMS000000,0.280,0.502,43.630,1.756,0.659
2018190155046IMS000000,0.790,0.922,37.957,2.078,1.854
2018193142500IMS000000,1.310,1.633,24.125,1.861,5.540
2018193204529IMS000000,0.530,0.492,52.505,nan,1.112
2018194085018IMS000000,0.640,0.775,38.420,nan,1.156
2018194133411IMS000000,1.310,1.564,22.015,1.988,3.316
2018195011432IMS000000,0.830,0.939,37.671,1.556,1.919
2018195074501IMS000000,0.560,0.618,47.584,1.644,1.280
2018195123640IMS000000,0.880,1.170,26.228,1.442,1.438
2018195172331IMS000000,0.540,0.559,55.741,1.598,1.677
2018195195343IMS000000,0.570,0.741,36.727,1.939,0.899
2018196003937IMS000000,0.800,0.923,34.329,1.565,1.378
2018196010738IMS000000,0.840,0.995,31.530,1.901,1.369
2018196133941IMS000000,0.680,0.877,43.311,1.804,2.360
2018196200450IMS000000,0.660,0.722,52.567,1.620,2.467
2018197015541IMS000000,0.740,0.902,40.993,1.681,2.177
2018197070436IMS000000,0.630,0.584,49.046,nan,1.245
2018197091659IMS000000,0.620,0.771,38.912,nan,1.184
2018197172535IMS000000,1.800,1.951,21.948,2.016,12.540
2018197183626IMS000000,0.940,1.147,36.857,1.749,3.692
2018199080816IMS000000,0.640,0.727,47.995,1.780,1.910
2018199104200IMS000000,1.340,1.622,21.365,1.855,3.711
2018199170820IMS000000,0.940,1.188,30.436,1.704,2.399
2018199170914IMS000000,0.690,0.824,49.747,nan,2.978
2018199194117IMS000000,0.520,0.571,49.244,nan,1.204
2018199204703IMS000000,0.450,0.554,52.060,nan,1.343
2018199224500IMS000000,1.170,1.530,21.801,1.724,2.870
2018200015608IMS000000,0.540,0.686,48.580,1.596,1.721
2018200040208IMS000000,0.540,0.603,58.102,nan,2.211
2018200082657IMS000000,1.010,1.222,32.807,1.763,3.375
2018200100833IMS000000,1.090,1.201,29.802,1.589,2.348
2018200102006IMS000000,0.900,1.047,35.497,1.806,2.336
2018200105407IMS000000,1.190,1.496,30.246,1.690,6.807
2018200105452IMS000000,1.510,1.653,23.269,2.172,5.335
2018200105703IMS000000,0.600,0.629,53.456,nan,1.883
2018200134612IMS000000,0.720,1.045,30.079,1.603,1.411
2018200143037IMS000000,0.570,0.685,49.658,1.840,1.832
2018200170651IMS000000,0.410,0.648,37.810,2.004,0.710
2018200191849IMS000000,0.770,0.875,44.076,1.663,2.464
2018201152715IMS000000,0.550,0.666,34.829,1.812,0.592
2018202112855IMS000000,0.680,0.809,36.043,1.612,1.073
2018202134535IMS000000,1.190,1.214,40.345,1.539,6.101
2018202144515IMS000000,0.510,0.603,44.932,1.634,1.023
2018202222748IMS000000,0.480,0.627,47.548,1.692,1.317
2018202225701IMS000000,0.530,0.469,54.948,1.560,1.178
2018202234429IMS000000,0.540,0.637,54.835,1.398,2.087
2018203081713IMS000000,0.610,0.628,48.110,1.545,1.368
2018203090059IMS000000,0.710,0.866,42.666,1.547,2.167
2018203113243IMS000000,0.510,0.606,47.614,1.770,1.227
2018203124722IMS000000,0.670,0.667,52.610,1.596,2.045
2018203171420IMS000000,1.000,1.169,38.604,1.537,4.570
2018203174444IMS000000,0.540,0.583,47.660,1.744,1.139
2018203230921IMS000000,1.110,1.162,36.124,1.788,3.663
2018203232316IMS000000,0.680,0.846,42.273,1.529,1.967
2018204160756IMS000000,0.460,0.621,46.778,1.850,1.225
2018204220258IMS000000,1.350,1.471,30.919,1.756,6.677
2018204234743IMS000000,0.890,1.287,29.822,1.814,3.170
2018205205035IMS000000,0.500,0.612,47.159,1.545,1.219
